Location,Date,Event,Person,Category,Scripture,Reference,Certainty,Latitude,Longitude
Bethany,33 C.E.,Arrives in Bethany six days before the Passover to stay with his friends.,Jesus Christ,,John 12:1,https://wol.jw.org/en/wol/d/r1/lp-e/1001070232,1,,
Bethany,33 C.E.,Dines at the home of Simon the leper where Mary anoints him with oil.,Jesus Christ,,Matthew 26:6-7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Bethany,33 C.E.,Departs from Bethany mounted on a donkey's colt to travel toward the city.,Jesus Christ,,Matthew 21:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Bethphage,33 C.E.,Passes through Bethphage on the road approaching Jerusalem from the east.,Jesus Christ,,Mark 11:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Enters the city in a triumphal entry while being hailed as King.,Jesus Christ,,Luke 19:37-38,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Teaches in the temple and heals the blind and the lame who come to him.,Jesus Christ,,Matthew 21:14,https://wol.jw.org/en/wol/d/r1/lp-e/1001070232,1,,
Jerusalem,33 C.E.,Departs from the temple area in the evening to return to Bethany.,Jesus Christ,,Matthew 21:17,https://wol.jw.org/en/wol/d/r1/lp-e/1001070232,1,,
Bethany,33 C.E.,Arrives in Bethany and spends the night there.,Jesus Christ,,Matthew 21:17,https://wol.jw.org/en/wol/d/r1/lp-e/1001070232,1,,
Bethany,33 C.E.,Departs from Bethany early in the morning to return to Jerusalem.,Jesus Christ,,Matthew 21:18,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Arrives in Jerusalem and cleanses the temple a second time of those using it for commerce.,Jesus Christ,,Mark 11:15-18,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Departs from the city in the evening to stay overnight in Bethany.,Jesus Christ,,Mark 11:19,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Bethany,33 C.E.,Arrives in Bethany to spend the night.,Jesus Christ,,Mark 11:19,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Bethany,33 C.E.,Departs from Bethany on Tuesday morning to return to the temple.,Jesus Christ,,Mark 11:20,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Arrives at the temple and scathingly denounces the religious hypocrisy of the scribes and Pharisees.,Jesus Christ,,Matthew 23:1-39,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Departs from the temple area and travels to the Mount of Olives.,Jesus Christ,,Matthew 24:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Mount of Olives,33 C.E.,Arrives at the mountain and predicts the destruction of Jerusalem and the sign of his presence.,Jesus Christ,,Matthew 24:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Mount of Olives,33 C.E.,Departs for the city of Jerusalem on Thursday afternoon to observe the Passover.,Jesus Christ,,Luke 22:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Arrives in an upper room to celebrate the Passover meal with his twelve apostles.,Jesus Christ,,Luke 22:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Institutes the Memorial of his death and dismisses Judas Iscariot.,Jesus Christ,,Luke 22:19-20,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Departs from the upper room and travels toward the garden across the Kidron Valley.,Jesus Christ,,John 18:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200001671,1,,
Gethsemane,33 C.E.,Arrives at the garden of olive trees to pray with his disciples.,Jesus Christ,,Matthew 26:36,https://wol.jw.org/en/wol/d/r1/lp-e/1200001671,1,,
Gethsemane,33 C.E.,Is betrayed by Judas and arrested by an armed mob in the garden.,Jesus Christ,,John 18:12,https://wol.jw.org/en/wol/d/r1/lp-e/1200001671,1,,
Jerusalem,33 C.E.,Arrives at the house of Caiaphas to be tried by the high priest and the Sanhedrin.,Jesus Christ,,Matthew 26:57,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Stands trial before Pontius Pilate in the governor's palace.,Jesus Christ,,John 18:28,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Jerusalem,33 C.E.,Departs for the place of execution while carrying his torture stake.,Jesus Christ,,John 19:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Golgotha,33 C.E.,Arrives at the place outside the city and is impaled on a torture stake.,Jesus Christ,,Luke 23:33,https://wol.jw.org/en/wol/d/r1/lp-e/1200003643,1,,
Golgotha,33 C.E.,Dies on the torture stake at approximately 3:00 p.m. on Friday.,Jesus Christ,,Luke 23:44-46,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Is resurrected from the dead on the third day and appears to his disciples.,Jesus Christ,,Matthew 28:1-15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Galilee,33 C.E.,Arrives in Galilee and appears to seven apostles at the Sea of Galilee.,Jesus Christ,,John 21:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Galilee,33 C.E.,Appears to a large group of over five hundred followers on a mountain.,Jesus Christ,,Matthew 28:16-20,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Jerusalem,33 C.E.,Arrives back in the vicinity of the city for his final meeting with the apostles.,Jesus Christ,,Luke 24:50,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Mount of Olives,33 C.E.,Ascends to heaven in the presence of his disciples on the fortieth day after his resurrection.,Jesus Christ,,Acts 1:9-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,1,,
Tarsus,c. 3 C.E.,"Paul is born in Tarsus, a prominent city of Cilicia.",Paul (Saul),,Acts 22:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,34 C.E.,Saul approves of the murder of Stephen and begins a campaign of vicious persecution against followers of Christ.,Paul (Saul),Persecutor,Acts 8:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,34 C.E.,Saul asks the high priest for letters to the synagogues in Damascus authorizing him to arrest those belonging to The Way.,Paul (Saul),Persecutor,Acts 9:1-2,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,34 C.E.,Saul departs for Damascus to search out disciples of Christ and bring them bound to Jerusalem.,Paul (Saul),Persecutor,Acts 9:2,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Road to Damascus,34 C.E.,Saul is blinded by a light from heaven and commissioned as a witness as Jesus reveals himself to the persecutor.,Paul (Saul),,Acts 9:3-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Damascus,34 C.E.,Saul arrives in the city blind and remains without sight or food for three days until Ananias restores his sight.,Paul (Saul),Disciple,Acts 9:8-18,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Damascus,34 C.E.,Saul is baptized and immediately begins preaching in the synagogues that Jesus is the Son of God.,Paul (Saul),Disciple,Acts 9:18-20,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Damascus,34 C.E.,Saul departs for Arabia after his conversion possibly for quiet meditation on the Scriptures.,Paul (Saul),Disciple,Galatians 1:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Arabia,34 C.E.,Saul arrives in Arabia following his conversion to Christianity.,Paul (Saul),Disciple,Galatians 1:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Arabia,35 C.E.,Saul remains in Arabia following his conversion to Christianity.,Paul (Saul),Disciple,Galatians 1:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Arabia,36 C.E.,Saul departs from Arabia to return to Damascus.,Paul (Saul),Disciple,Galatians 1:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Damascus,36 C.E.,Saul arrives back in Damascus and continues preaching until he escapes a murder plot in a wicker basket.,Paul (Saul),Disciple,Acts 9:22-25,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Damascus,36 C.E.,Saul departs for Jerusalem to visit the apostles for the first time since his conversion.,Paul (Saul),Disciple,Galatians 1:18,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,36 C.E.,Saul arrives in Jerusalem to visit Peter and stays for fifteen days while speaking boldly in the name of the Lord.,Paul (Saul),Disciple,Acts 9:26-29,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,36 C.E.,Saul departs for Caesarea after brothers learn of a plot by Greek-speaking Jews to kill him.,Paul (Saul),Disciple,Acts 9:29-30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,36 C.E.,Saul arrives at the seaport and is sent off to Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,36 C.E.,Saul departs the seaport of Caesarea to return to his hometown.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,36 C.E.,Saul arrives in his hometown to begin several silent years of ministry.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,37 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,38 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,39 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,40 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,41 C.E.,Paul is caught away to the third heaven in a superlative supernatural vision.,Paul (Saul),Disciple,2 Corinthians 12:2,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,42 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,43 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
